"Type" "uptake" "logconc"
"Quebec" 14.2 4.55387689160054
"Quebec" 24.1 5.16478597392351
"Quebec" 30.3 5.52146091786225
"Quebec" 34.6 5.85793315448346
"Quebec" 32.5 6.21460809842219
"Quebec" 35.4 6.51471269087253
"Quebec" 38.7 6.90775527898214
"Quebec" 9.3 4.55387689160054
"Quebec" 27.3 5.16478597392351
"Quebec" 35 5.52146091786225
"Quebec" 38.8 5.85793315448346
"Quebec" 38.6 6.21460809842219
"Quebec" 37.5 6.51471269087253
"Quebec" 42.4 6.90775527898214
"Quebec" 15.1 4.55387689160054
"Quebec" 21 5.16478597392351
"Quebec" 38.1 5.52146091786225
"Quebec" 34 5.85793315448346
"Quebec" 38.9 6.21460809842219
"Quebec" 39.6 6.51471269087253
"Quebec" 41.4 6.90775527898214
"Mississippi" 10.5 4.55387689160054
"Mississippi" 14.9 5.16478597392351
"Mississippi" 18.1 5.52146091786225
"Mississippi" 18.9 5.85793315448346
"Mississippi" 19.5 6.21460809842219
"Mississippi" 22.2 6.51471269087253
"Mississippi" 21.9 6.90775527898214
"Mississippi" 7.7 4.55387689160054
"Mississippi" 11.4 5.16478597392351
"Mississippi" 12.3 5.52146091786225
"Mississippi" 13 5.85793315448346
"Mississippi" 12.5 6.21460809842219
"Mississippi" 13.7 6.51471269087253
"Mississippi" 14.4 6.90775527898214
"Mississippi" 10.6 4.55387689160054
"Mississippi" 18 5.16478597392351
"Mississippi" 17.9 5.52146091786225
"Mississippi" 17.9 5.85793315448346
"Mississippi" 17.9 6.21460809842219
"Mississippi" 18.9 6.51471269087253
"Mississippi" 19.9 6.90775527898214
